"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 05, 2017","3,965.05","3,937.57","4,018.99","3,928.76","-","0.17%"
"Dec 04, 2017","3,958.22","4,062.39","4,062.44","3,954.48","-","-1.98%"
"Dec 01, 2017","4,038.27","4,038.79","4,058.43","3,975.32","-","-0.72%"
"Nov 30, 2017","4,067.76","4,054.08","4,075.07","4,029.22","-","0.85%"
"Nov 29, 2017","4,033.36","4,141.01","4,141.01","4,004.09","-","-2.90%"
"Nov 28, 2017","4,153.70","4,163.29","4,169.50","4,129.99","-","-0.06%"
"Nov 27, 2017","4,156.39","4,153.39","4,165.13","4,141.22","-","-0.15%"
"Nov 24, 2017","4,162.57","4,146.74","4,164.84","4,144.45","-","0.50%"
"Nov 22, 2017","4,141.66","4,146.25","4,149.32","4,132.21","-","-0.03%"
"Nov 21, 2017","4,142.77","4,106.38","4,143.10","4,106.38","-","1.36%"
"Nov 20, 2017","4,087.18","4,082.81","4,091.23","4,078.26","-","0.24%"
"Nov 17, 2017","4,077.20","4,102.02","4,103.60","4,072.58","-","-0.54%"
"Nov 16, 2017","4,099.20","4,073.26","4,108.71","4,073.26","-","1.26%"
"Nov 15, 2017","4,048.12","4,052.12","4,064.38","4,029.06","-","-0.81%"
"Nov 14, 2017","4,081.16","4,078.50","4,087.55","4,061.73","-","-0.33%"
"Nov 13, 2017","4,094.54","4,077.09","4,099.17","4,075.05","-","-0.01%"
"Nov 10, 2017","4,094.93","4,093.06","4,099.00","4,082.85","-","-0.15%"
"Nov 09, 2017","4,101.21","4,102.50","4,104.67","4,053.78","-","-0.89%"
"Nov 08, 2017","4,138.03","4,114.26","4,138.73","4,104.15","-","0.47%"
"Nov 07, 2017","4,118.48","4,120.74","4,127.15","4,100.43","-","0.03%"
"Nov 06, 2017","4,117.19","4,099.52","4,120.46","4,099.38","-","0.55%"
"Nov 03, 2017","4,094.66","4,086.25","4,098.18","4,052.04","-","1.03%"
"Nov 02, 2017","4,052.78","4,038.63","4,055.55","4,011.81","-","0.24%"
"Nov 01, 2017","4,043.07","4,066.21","4,068.53","4,018.96","-","-0.07%"
"Oct 31, 2017","4,046.01","4,032.54","4,057.28","4,023.41","-","0.54%"
"Oct 30, 2017","4,024.13","4,006.64","4,040.45","4,000.37","-","0.50%"
"Oct 27, 2017","4,004.29","3,962.49","4,016.99","3,958.49","-","3.24%"
"Oct 26, 2017","3,878.60","3,889.95","3,895.11","3,872.21","-","0.33%"
"Oct 25, 2017","3,865.84","3,878.01","3,893.01","3,833.81","-","-0.54%"
"Oct 24, 2017","3,887.02","3,879.27","3,893.18","3,867.59","-","0.36%"
"Oct 23, 2017","3,873.00","3,900.14","3,900.63","3,868.25","-","-0.43%"
"Oct 20, 2017","3,889.74","3,889.63","3,900.64","3,884.76","-","0.58%"
"Oct 19, 2017","3,867.50","3,855.52","3,867.60","3,835.93","-","-0.51%"
"Oct 18, 2017","3,887.20","3,888.24","3,893.13","3,869.97","-","0.10%"
"Oct 17, 2017","3,883.16","3,877.17","3,883.16","3,868.77","-","0.08%"
"Oct 16, 2017","3,880.23","3,870.41","3,880.60","3,863.79","-","0.55%"
"Oct 13, 2017","3,859.17","3,855.70","3,867.23","3,853.23","-","0.56%"
"Oct 12, 2017","3,837.53","3,834.83","3,854.25","3,833.34","-","-0.00%"
"Oct 11, 2017","3,837.72","3,816.37","3,838.41","3,811.04","-","0.55%"
"Oct 10, 2017","3,816.54","3,828.06","3,829.84","3,797.00","-","0.08%"
"Oct 09, 2017","3,813.61","3,809.80","3,823.12","3,807.67","-","0.28%"
"Oct 06, 2017","3,803.14","3,774.49","3,803.44","3,774.33","-","0.39%"
"Oct 05, 2017","3,788.30","3,764.05","3,790.28","3,758.00","-","1.08%"
"Oct 04, 2017","3,747.99","3,743.55","3,755.47","3,731.94","-","-0.17%"
"Oct 03, 2017","3,754.19","3,748.44","3,758.21","3,744.20","-","0.26%"
"Oct 02, 2017","3,744.31","3,749.90","3,759.50","3,722.93","-","0.07%"
"Sep 29, 2017","3,741.73","3,715.80","3,742.63","3,711.22","-","0.85%"
"Sep 28, 2017","3,710.29","3,693.65","3,710.97","3,686.79","-","0.20%"
"Sep 27, 2017","3,702.85","3,672.68","3,715.36","3,671.03","-","1.50%"
"Sep 26, 2017","3,648.08","3,651.45","3,663.56","3,631.78","-","0.51%"
"Sep 25, 2017","3,629.54","3,665.44","3,666.71","3,610.89","-","-1.63%"
"Sep 22, 2017","3,689.83","3,673.21","3,693.54","3,672.88","-","-0.06%"
"Sep 21, 2017","3,692.11","3,711.40","3,711.40","3,673.39","-","-0.69%"
"Sep 20, 2017","3,717.84","3,739.64","3,740.88","3,687.43","-","-0.74%"
"Sep 19, 2017","3,745.50","3,741.07","3,752.36","3,725.29","-","0.38%"
"Sep 18, 2017","3,731.18","3,738.29","3,752.17","3,719.19","-","0.05%"
"Sep 15, 2017","3,729.29","3,704.93","3,739.28","3,701.00","-","0.66%"
"Sep 14, 2017","3,704.72","3,705.97","3,722.87","3,695.20","-","-0.44%"
"Sep 13, 2017","3,721.07","3,711.84","3,721.20","3,701.51","-","-0.02%"
"Sep 12, 2017","3,721.71","3,729.00","3,731.05","3,699.99","-","0.13%"
"Sep 11, 2017","3,716.91","3,699.74","3,725.01","3,698.14","-","1.37%"
"Sep 08, 2017","3,666.51","3,701.40","3,703.65","3,662.56","-","-1.02%"
"Sep 07, 2017","3,704.22","3,696.25","3,707.06","3,679.91","-","0.41%"
