"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","5,766.5","5,838.3","5,840.6","5,745.1","-","-1.35%"
"Apr 19, 2018","5,845.2","5,852.2","5,875.9","5,826.6","-","-0.18%"
"Apr 18, 2018","5,855.9","5,847.1","5,873.7","5,829.4","-","0.60%"
"Apr 17, 2018","5,820.9","5,771.5","5,831.8","5,755.9","-","1.80%"
"Apr 16, 2018","5,717.9","5,703.3","5,736.5","5,673.5","-","0.89%"
"Apr 13, 2018","5,667.2","5,712.7","5,719.4","5,647.5","-","-0.42%"
"Apr 12, 2018","5,690.9","5,687.4","5,713.3","5,675.2","-","0.61%"
"Apr 11, 2018","5,656.5","5,656.6","5,705.9","5,652.3","-","-0.31%"
"Apr 10, 2018","5,674.1","5,674.2","5,688.7","5,632.2","-","1.42%"
"Apr 09, 2018","5,594.6","5,631.1","5,681.2","5,589.4","-","0.12%"
"Apr 06, 2018","5,587.7","5,656.1","5,705.2","5,556.3","-","-2.17%"
"Apr 05, 2018","5,711.7","5,688.4","5,728.7","5,665.0","-","1.33%"
"Apr 04, 2018","5,636.7","5,462.8","5,649.8","5,462.8","-","1.44%"
"Apr 03, 2018","5,556.5","5,547.4","5,587.4","5,480.9","-","0.99%"
"Apr 02, 2018","5,502.1","5,624.8","5,633.6","5,458.0","-","-2.96%"
"Mar 29, 2018","5,669.9","5,590.9","5,698.2","5,545.3","-","1.39%"
"Mar 28, 2018","5,591.9","5,619.4","5,649.0","5,545.7","-","-1.37%"
"Mar 27, 2018","5,669.5","5,838.3","5,838.3","5,635.2","-","-2.39%"
"Mar 26, 2018","5,808.2","5,751.6","5,812.3","5,672.1","-","2.67%"
"Mar 23, 2018","5,657.4","5,781.6","5,800.7","5,657.4","-","-2.00%"
"Mar 22, 2018","5,772.8","5,844.8","5,866.5","5,771.4","-","-2.24%"
"Mar 21, 2018","5,904.8","5,903.6","5,944.5","5,881.7","-","-0.08%"
"Mar 20, 2018","5,909.8","5,893.3","5,916.9","5,881.6","-","0.55%"
"Mar 19, 2018","5,877.4","5,919.9","5,927.7","5,832.8","-","-1.46%"
"Mar 16, 2018","5,964.3","5,987.1","5,994.6","5,960.3","-","-0.10%"
"Mar 15, 2018","5,970.0","6,003.8","6,004.1","5,959.5","-","-0.42%"
"Mar 14, 2018","5,994.9","6,033.5","6,038.9","5,984.3","-","-0.32%"
"Mar 13, 2018","6,013.9","6,095.4","6,095.4","6,004.5","-","-0.77%"
