"Data,""Último"",""Abertura"",""Máxima"",""Mínima"",""Vol."",""Var%"""
"13.10.2020,""2.725,9"",""2.786,5"",""2.786,5"",""2.723,3"",""-"",""-2,87%"""
"12.10.2020,""2.806,6"",""2.766,7"",""2.809,9"",""2.765,4"",""-"",""1,24%"""
"09.10.2020,""2.772,1"",""2.815,4"",""2.820,5"",""2.770,2"",""-"",""-0,88%"""
"08.10.2020,""2.796,7"",""2.782,0"",""2.802,1"",""2.768,2"",""-"",""1,39%"""
"07.10.2020,""2.758,4"",""2.720,6"",""2.771,6"",""2.720,6"",""-"",""2,74%"""
"06.10.2020,""2.684,9"",""2.711,4"",""2.783,5"",""2.684,9"",""-"",""0,05%"""
"05.10.2020,""2.683,7"",""2.619,8"",""2.685,5"",""2.619,8"",""-"",""3,54%"""
"02.10.2020,""2.591,9"",""2.481,9"",""2.598,3"",""2.481,1"",""-"",""2,81%"""
"01.10.2020,""2.521,2"",""2.509,0"",""2.526,1"",""2.485,8"",""-"",""0,57%"""
"30.09.2020,""2.506,9"",""2.504,4"",""2.537,4"",""2.490,3"",""-"",""0,56%"""
"29.09.2020,""2.493,1"",""2.505,0"",""2.505,0"",""2.452,7"",""-"",""-0,93%"""
"28.09.2020,""2.516,5"",""2.480,6"",""2.531,2"",""2.480,4"",""-"",""3,32%"""
"25.09.2020,""2.435,6"",""2.387,9"",""2.442,2"",""2.384,3"",""-"",""1,27%"""
"24.09.2020,""2.405,2"",""2.398,3"",""2.452,9"",""2.375,3"",""-"",""0,71%"""
"23.09.2020,""2.388,4"",""2.451,4"",""2.491,7"",""2.387,8"",""-"",""-2,19%"""
"22.09.2020,""2.441,8"",""2.491,8"",""2.517,5"",""2.432,0"",""-"",""-1,80%"""
"21.09.2020,""2.486,6"",""2.558,0"",""2.577,1"",""2.466,7"",""-"",""-4,97%"""
"18.09.2020,""2.616,6"",""2.645,6"",""2.647,4"",""2.602,0"",""-"",""-0,67%"""
"17.09.2020,""2.634,2"",""2.611,1"",""2.643,0"",""2.606,9"",""-"",""-0,55%"""
"16.09.2020,""2.648,8"",""2.634,7"",""2.684,0"",""2.619,5"",""-"",""0,61%"""
"15.09.2020,""2.632,7"",""2.686,2"",""2.686,7"",""2.631,2"",""-"",""-1,67%"""
"14.09.2020,""2.677,5"",""2.635,9"",""2.692,0"",""2.629,3"",""-"",""2,19%"""
"11.09.2020,""2.620,1"",""2.624,6"",""2.635,5"",""2.603,9"",""-"",""0,05%"""
"10.09.2020,""2.618,9"",""2.676,8"",""2.683,6"",""2.618,7"",""-"",""-1,61%"""
"09.09.2020,""2.661,6"",""2.696,8"",""2.697,0"",""2.644,0"",""-"",""-0,64%"""
"08.09.2020,""2.678,9"",""2.746,4"",""2.748,1"",""2.663,8"",""-"",""-3,69%"""
"04.09.2020,""2.781,5"",""2.787,7"",""2.809,0"",""2.738,2"",""-"",""1,90%"""
"03.09.2020,""2.729,6"",""2.743,5"",""2.814,6"",""2.721,6"",""-"",""0,02%"""
"02.09.2020,""2.729,2"",""2.703,3"",""2.737,5"",""2.696,1"",""-"",""0,71%"""
"01.09.2020,""2.709,9"",""2.687,6"",""2.725,8"",""2.672,4"",""-"",""0,27%"""
"31.08.2020,""2.702,5"",""2.732,3"",""2.738,6"",""2.702,5"",""-"",""-1,60%"""
