"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 18, 2018","8,374.6","8,387.0","8,415.0","8,374.6","-","0.11%"
"Apr 17, 2018","8,365.5","8,413.8","8,430.6","8,346.9","-","-0.16%"
"Apr 16, 2018","8,378.6","8,266.7","8,409.3","8,258.6","-","1.27%"
"Apr 13, 2018","8,273.6","8,337.2","8,345.5","8,249.6","-","-0.07%"
"Apr 12, 2018","8,279.5","8,263.0","8,318.1","8,258.0","-","0.64%"
"Apr 11, 2018","8,226.9","8,190.1","8,247.1","8,171.0","-","-0.09%"
"Apr 10, 2018","8,234.0","8,210.3","8,276.6","8,204.8","-","1.06%"
"Apr 09, 2018","8,147.7","8,191.1","8,252.1","8,142.6","-","-0.66%"
"Apr 06, 2018","8,201.8","8,284.5","8,336.5","8,161.0","-","-1.72%"
"Apr 05, 2018","8,345.1","8,364.2","8,379.6","8,332.6","-","0.20%"
"Apr 04, 2018","8,328.2","8,195.0","8,341.8","8,172.7","-","0.66%"
"Apr 03, 2018","8,273.3","8,229.2","8,293.6","8,186.1","-","0.97%"
"Apr 02, 2018","8,194.1","8,328.6","8,348.7","8,115.9","-","-1.88%"
"Mar 29, 2018","8,350.8","8,328.1","8,390.2","8,325.0","-","0.55%"
"Mar 28, 2018","8,304.8","8,222.7","8,342.0","8,182.9","-","1.02%"
"Mar 27, 2018","8,221.1","8,310.4","8,359.0","8,191.1","-","-0.95%"
"Mar 26, 2018","8,300.3","8,229.9","8,309.8","8,154.3","-","1.94%"
"Mar 23, 2018","8,142.4","8,360.2","8,366.4","8,142.4","-","-2.35%"
"Mar 22, 2018","8,338.7","8,477.1","8,500.2","8,337.7","-","-2.35%"
"Mar 21, 2018","8,539.1","8,551.0","8,613.4","8,537.8","-","-0.04%"
"Mar 20, 2018","8,542.5","8,530.0","8,572.4","8,521.3","-","0.44%"
"Mar 19, 2018","8,504.9","8,558.6","8,577.8","8,468.3","-","-0.85%"
"Mar 16, 2018","8,577.5","8,531.2","8,592.9","8,519.2","-","0.78%"
"Mar 15, 2018","8,510.9","8,544.0","8,544.6","8,491.9","-","0.12%"
"Mar 14, 2018","8,500.5","8,612.5","8,615.2","8,492.5","-","-0.83%"
"Mar 13, 2018","8,571.6","8,639.1","8,642.6","8,549.5","-","-0.41%"
"Mar 12, 2018","8,606.5","8,682.2","8,684.8","8,588.1","-","-0.79%"
"Mar 09, 2018","8,675.2","8,534.3","8,681.2","8,519.9","-","1.96%"
"Mar 08, 2018","8,508.8","8,536.3","8,549.1","8,471.5","-","-0.22%"
"Mar 07, 2018","8,527.5","8,442.2","8,533.9","8,442.0","-","0.17%"
"Mar 06, 2018","8,513.3","8,498.1","8,523.1","8,431.4","-","0.42%"
"Mar 05, 2018","8,477.7","8,310.7","8,502.7","8,307.0","-","1.69%"
"Mar 02, 2018","8,336.8","8,260.2","8,346.1","8,212.7","-","0.06%"
"Mar 01, 2018","8,331.5","8,451.2","8,480.3","8,305.6","-","-1.09%"
"Feb 28, 2018","8,423.0","8,580.5","8,600.8","8,423.0","-","-1.50%"
"Feb 27, 2018","8,551.7","8,568.7","8,643.7","8,551.2","-","-0.25%"
"Feb 26, 2018","8,573.4","8,512.7","8,578.5","8,492.6","-","0.97%"
"Feb 23, 2018","8,491.3","8,439.5","8,491.3","8,422.5","-","0.98%"
"Feb 22, 2018","8,408.9","8,532.7","8,569.7","8,395.0","-","-1.24%"
"Feb 21, 2018","8,514.4","8,524.9","8,625.0","8,508.6","-","0.00%"
"Feb 20, 2018","8,514.1","8,557.6","8,585.5","8,482.5","-","-0.97%"
"Feb 16, 2018","8,597.1","8,511.5","8,614.8","8,507.4","-","0.71%"
"Feb 15, 2018","8,536.6","8,549.4","8,568.7","8,488.9","-","0.48%"
"Feb 14, 2018","8,495.6","8,266.6","8,496.4","8,258.1","-","2.56%"
"Feb 13, 2018","8,283.8","8,234.4","8,295.8","8,225.6","-","-0.47%"
